arm,campaign,auc,total_unique_at_k10,injections_to_first_weakness
random,1,63.0,10,1
random,2,68.5,16,1
random,3,69.0,11,1
random,4,74.0,14,1
random,5,83.5,13,1
random,6,75.0,16,1
random,7,67.5,12,1
random,8,92.0,17,1
random,9,101.0,16,1
random,10,63.0,15,1
coverage,1,42.5,7,1
coverage,2,38.0,7,1
coverage,3,42.5,7,1
coverage,4,42.0,7,1
coverage,5,46.5,8,1
coverage,6,33.5,6,1
coverage,7,40.5,8,1
coverage,8,38.0,7,1
coverage,9,34.0,7,1
coverage,10,28.5,4,1
llm-claude,1,54.0,13,1
llm-claude,2,66.5,16,1
llm-claude,3,64.0,15,1
llm-claude,4,60.0,15,1
llm-claude,5,89.0,18,1
llm-claude,6,59.5,16,1
llm-claude,7,57.0,15,1
llm-claude,8,99.0,20,1
llm-claude,9,65.0,15,1
llm-claude,10,63.0,15,1
llm-llama,1,95.0,16,1
llm-llama,2,102.0,18,1
llm-llama,3,101.5,17,1
llm-llama,4,61.0,11,1
llm-llama,5,67.0,11,1
llm-llama,6,60.5,10,1
llm-llama,7,60.5,10,1
llm-llama,8,40.0,10,3
llm-llama,9,76.5,12,1
llm-llama,10,57.5,10,1
llm-mistral,1,75.0,15,1
llm-mistral,2,85.5,14,1
llm-mistral,3,82.5,16,1
llm-mistral,4,55.0,13,1
llm-mistral,5,83.0,17,1
llm-mistral,6,71.0,15,1
llm-mistral,7,57.0,15,1
llm-mistral,8,66.0,13,1
llm-mistral,9,71.0,15,1
llm-mistral,10,58.0,13,1
