cluster,tool,scenario,scenario_name,category,run,throughput_rps,latency_p50,latency_p99,latency_mean,error_rate,pod_restarts,cpu_spike_pct,memory_spike_mb,baseline_cpu_mean,fault_cpu_mean,baseline_mem_mb,fault_mem_mb,recovery_time_s
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,1,77.48,12.29,94.91,0.016256,0.23620967741935484,0,11934.3,91.7,0.01663075608672701,0.06981822631470486,20.566565688775512,22.338262648809526,60.0
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,10,77.44,12.49,95.1,0.015976,0.22741701189003066,0,11021.6,87.5,0.018019704111603845,0.07209408752882031,21.543048469387756,23.253627232142858,15.000405073165894
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,11,77.22,12.19,174.85,0.019052,0.23848830622319334,0,10648.5,100.7,0.018623932972860382,0.08384665212533594,22.017179528061224,24.05087425595238,60.00030493736267
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,12,77.43,10.57,66.11,0.013111000000000001,0.2203093476798924,0,10516.1,89.2,0.018868520654201814,0.05352362300646948,21.972084927721088,23.739443824404763,60.00003695487976
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,13,77.48,12.67,134.53,0.023188,0.23190665662974513,0,11167.5,99.3,0.017762065644670796,0.06505085534183469,22.44097443664966,24.501875620039684,44.99999928474426
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,14,77.48,13.26,107.39,0.017167,0.21634408602150537,0,11332.3,95.5,0.017501970743664375,0.06098553639234268,22.690290178571427,24.584433903769842,44.99984693527222
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,15,77.49,19.52,146.94,0.024486,0.22193548387096773,0,11035.4,89.6,0.017990037254365713,0.0656800664435871,22.788079294217688,24.54275173611111,0.0
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,2,77.49,15.07,100.54,0.018588,0.2375268817204301,0,10764.6,92.4,0.018435966424222187,0.08230412917460289,20.477598852040817,22.36875310019841,60.00041317939758
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,3,77.49,12.36,87.93,0.015704,0.23548387096774193,0,11545.0,94.6,0.017180712538803437,0.0806701998338645,20.544470131802722,22.38600570436508,60.0
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,4,77.49,11.97,111.93,0.017009,0.21483870967741936,0,11311.8,96.1,0.017550891814467697,0.06958594874284937,20.84141156462585,22.804656498015873,59.99997091293335
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,5,77.56,13.15,98.82,0.017349,0.22841180736483038,0,10765.4,93.0,0.018430997442362478,0.06605114328750944,21.19599011479592,23.04253472222222,0.0
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,6,77.44,11.57,79.87,0.016632,0.23701412239408204,0,11616.9,90.1,0.01709491560115645,0.08050379010124971,21.09463355654762,22.904482886904763,59.99963712692261
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,7,77.49,11.79,140.16,0.018119,0.23373655913978494,0,11590.4,99.2,0.017132377265088417,0.07015154005372516,21.3970490539966,23.40815662202381,0.0
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,8,77.48,11.48,123.33,0.016784,0.23478494623655913,0,11146.1,98.5,0.017791171814747438,0.07964703718007803,21.577965561224488,23.513470362103174,59.99995422363281
bench-a,chaos-mesh,a1,HTTP Abort 503,Application,9,77.49,13.41,91.58,0.016805,0.2364516129032258,0,11487.2,88.6,0.017278681826655144,0.0712457241748276,21.72753208705357,23.591099330357142,59.99965214729309
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,1,119.8,14.81,6100.0,0.15268700000000002,0.0017042292710072343,0,2212.7,104.6,0.017464484804486886,0.028031418249801997,22.88503135629252,25.388966393849206,60.0
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,10,119.73,13.02,5870.0,0.138556,0.0015832144472667804,0,2265.9,94.3,0.016798374782976227,0.0290119295360177,22.9115446960034,25.064251612103174,59.99960207939148
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,11,119.8,17.9,5950.0,0.15677000000000002,0.0017042292710072343,0,1988.6,104.1,0.018607393400470407,0.030679467696472427,23.44363174957483,25.81108940972222,15.000140905380249
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,12,119.74,11.76,6270.0,0.152325,0.0017223981349385852,0,2116.6,100.1,0.016788425096754912,0.025863091269353152,23.273018973214285,25.406854538690474,15.00039792060852
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,13,119.74,12.46,6180.0,0.15135099999999999,0.0016702042520616584,0,1957.8,99.0,0.017497955847950032,0.027879926862963485,23.049133715986393,25.203016493055557,60.0
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,14,119.8,15.73,6310.0,0.159541,0.0017042292710072343,0,2072.5,99.1,0.017729101117337144,0.026240197894836555,23.201251594387756,25.451497395833332,60.0
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,15,119.74,11.0,5600.0,0.136685,0.0015310205643898536,0,2079.8,98.5,0.016961236723226643,0.02903441688118494,22.71982421875,25.175967261904763,60.0
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,2,119.8,16.64,6370.0,0.163917,0.002382442960489705,0,2124.0,101.9,0.01779068685453834,0.03325069332564443,23.013539009353742,25.56699528769841,15.00035309791565
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,3,119.74,11.53,5950.0,0.140974,0.0015658164863078048,0,1967.1,97.8,0.017133981953747823,0.026433451765042224,22.784917091836736,25.056640625,60.0
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,4,119.8,15.84,5560.0,0.144989,0.0016868391764051196,0,2173.3,104.2,0.018106090258924488,0.03291825479275804,23.45535049957483,25.71103050595238,60.0
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,5,119.8,13.61,5980.0,0.14746299999999998,0.001669449081803005,0,2082.3,100.2,0.017200991346379223,0.02577096355605885,23.165271577380953,25.396329365079364,0.0
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,6,119.8,16.72,6280.0,0.156307,0.0015998887033945464,0,2262.4,95.7,0.018176470927340784,0.028009455492039943,23.058768136160715,25.344075520833332,14.999985933303833
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,7,119.8,16.7,5960.0,0.14475200000000002,0.0015477184195882025,0,2115.6,92.2,0.017749730162195693,0.02872031704117067,23.053536551339285,25.223570808531747,60.0
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,8,119.8,17.15,5170.0,0.135349,0.001530328324986088,0,1939.4,97.1,0.017980422918876294,0.02723799699582287,23.1669921875,25.5556640625,15.000442743301392
bench-a,chaos-mesh,a2,gRPC Unavailable,Application,9,119.8,15.34,5910.0,0.1477,0.0016868391764051196,0,1931.4,104.8,0.018745510654150636,0.02789669754800076,23.227319834183675,25.723291790674605,29.999937057495117
bench-a,chaos-mesh,n1,Latency 50ms,Network,1,119.8,12.34,247.17,0.03527,0.0,0,2276.2,99.6,0.015581899956792862,0.026061955781295144,21.217354910714285,23.625573536706348,44.99959993362427
bench-a,chaos-mesh,n1,Latency 50ms,Network,10,119.8,13.33,255.49,0.035017000000000006,0.0,0,2124.4,99.5,0.01598285194191121,0.023466849091320994,21.20090614370748,23.553369915674605,60.0
bench-a,chaos-mesh,n1,Latency 50ms,Network,11,119.8,11.18,310.78,0.036562,0.0,0,2220.3,97.7,0.017119473814443897,0.027753753168441735,21.013997395833332,23.48694816468254,60.0
bench-a,chaos-mesh,n1,Latency 50ms,Network,12,119.74,11.38,217.21,0.030438,0.0,0,2413.0,94.3,0.015384442527624472,0.024841498054630415,20.860152264030614,23.17609126984127,60.0
bench-a,chaos-mesh,n1,Latency 50ms,Network,13,119.73,9.53,193.54,0.028409,0.0,0,1967.7,93.4,0.015372389727747893,0.024364168573287208,21.15850207270408,23.18781001984127,60.0
bench-a,chaos-mesh,n1,Latency 50ms,Network,14,119.8,11.85,246.4,0.034003,0.0,0,2058.0,102.2,0.016007485001030462,0.024764854895888012,21.163756909013607,23.787124875992063,60.0
bench-a,chaos-mesh,n1,Latency 50ms,Network,15,119.8,12.81,279.81,0.036857999999999995,0.0,0,2542.1,100.0,0.015442434545543046,0.02729790682948138,21.00979219812925,23.478112599206348,59.99997878074646
bench-a,chaos-mesh,n1,Latency 50ms,Network,2,119.74,11.52,267.52,0.032142000000000004,0.0,0,2388.1,95.4,0.015114152933544518,0.027415862059953267,20.873332536139454,23.249581473214285,60.0
bench-a,chaos-mesh,n1,Latency 50ms,Network,3,119.8,12.77,220.41,0.035110999999999996,0.0,0,1921.6,98.8,0.016692464229329056,0.023717868160826976,20.90305458120748,23.443343874007937,60.00000977516174
bench-a,chaos-mesh,n1,Latency 50ms,Network,4,119.8,11.95,269.57,0.035736,0.0,0,1977.2,99.7,0.01663526051211463,0.026378015235509065,21.55470742984694,23.79225570436508,60.0
bench-a,chaos-mesh,n1,Latency 50ms,Network,5,119.8,10.85,224.13,0.031035,0.0,0,2038.7,101.6,0.01558131390886659,0.026782518815582565,21.014190051020407,23.49035838293651,45.00028204917908
bench-a,chaos-mesh,n1,Latency 50ms,Network,6,119.8,13.36,246.91,0.037089,0.0,0,2318.0,97.6,0.015075711150925637,0.026055395489995695,21.295792144982993,23.587239583333332,60.0
bench-a,chaos-mesh,n1,Latency 50ms,Network,7,119.8,13.66,268.54,0.037847,0.0,0,2063.1,101.2,0.017195258490439555,0.027344079010700167,21.206871811224488,23.643926711309526,60.0
bench-a,chaos-mesh,n1,Latency 50ms,Network,8,119.8,11.83,262.02,0.035026,0.0,0,1955.0,100.0,0.016356923112205678,0.02425842750749998,20.9064559417517,23.372891865079364,60.0
bench-a,chaos-mesh,n1,Latency 50ms,Network,9,119.74,11.44,243.71,0.031504000000000004,0.0,0,2197.7,94.0,0.015724288338016538,0.025959084729235936,20.74091863307823,22.890438988095237,60.0
bench-a,chaos-mesh,n2,Latency 100ms,Network,1,119.8,22.61,1040.0,0.09289,0.0,0,0.0,0.0,,,,,
bench-a,chaos-mesh,n2,Latency 100ms,Network,10,119.8,19.02,1030.0,0.08998099999999999,0.0,0,0.0,0.0,,,,,
bench-a,chaos-mesh,n2,Latency 100ms,Network,11,119.8,20.51,1020.0,0.09100499999999999,0.0,0,0.0,0.0,,,,,
bench-a,chaos-mesh,n2,Latency 100ms,Network,12,119.8,19.15,1030.0,0.09158100000000001,0.0,0,0.0,0.0,,,,,
bench-a,chaos-mesh,n2,Latency 100ms,Network,13,119.8,21.26,1030.0,0.094562,0.0,0,0.0,0.0,,,,,
bench-a,chaos-mesh,n2,Latency 100ms,Network,14,119.8,20.16,1040.0,0.09259999999999999,0.0,0,0.0,0.0,,,,,
bench-a,chaos-mesh,n2,Latency 100ms,Network,15,119.8,21.65,1030.0,0.096067,0.0005390929326655538,0,0.0,0.0,,,,,
bench-a,chaos-mesh,n2,Latency 100ms,Network,2,119.8,16.66,1030.0,0.092259,0.0,0,0.0,0.0,,,,,
bench-a,chaos-mesh,n2,Latency 100ms,Network,3,119.74,14.58,1010.0,0.086062,0.0,0,0.0,0.0,,,,,
bench-a,chaos-mesh,n2,Latency 100ms,Network,4,119.8,17.09,1050.0,0.090803,0.0,0,0.0,0.0,,,,,
